publisher_original	publisher_harmonized
A. G. Meissner	a.g.meissner
A. Gansen	a.gansen
A. Garris	a.garris
A. Georgi	a.georgi
A. Ginemann	a.ginemann
A. Glass	a.glass
A. Golubenko	a.golubenko
A. Graf	a.graf
A. Grauen ja V. Alver	a.grauen&v.alver
A. Gregor	a.gregor
A. Grenzstein	a.grenzstein
A. Grigorjev	a.grigorjev
A. Grosset	a.grosset
A. Gulbis	a.gulbis
A. Gustavson ja J. Sonin	a.gustavson&j.sonin
A. H. Leinbock	a.h.leinbock
A. H. Lindfors	lindfors
A. H. Lindfors?	lindfors
A. H. Linsfors	a.h.lindfors
A. H. Tammsaare Muuseum	a.h.tammsaare muuseum
A. H. Tammsaare Muuseum Vargamäel	a.h.tammsaare muuseum vargamäel
A. H. Tammsaare muuseum Vargamäel	a.h.tammsaare muuseum vargamäel
A. Haamer	a.haamer
A. Haas	a.haas
A. Haava	a.haava
A. Hakelmann	a.hakelmann
A. Hallik-Konnula	a.hallikkonnula
A. Hansen	a.hansen
A. Hanson	a.hanson
A. Hansson	a.hansson
A. Hasselqwist	a.hasselqvist
A. Haug	a.haug
A. Heidmets	a.heidmets
A. Heintalu	a.heintalu
A. Heinvee	a.heinvee
A. Herman	a.herman
A. Heydock	a.heydock
A. Hinrichsoni ja F. Normanni linaketramise vabrik	a.hinrichsoni&f.normanni linaketramise vabrik
A. Hirschwald	a.hirschvald
A. Hoffmann	a.hoffmann
A. Hoffmann & Co	a.hoffmann
A. Härm	a.härm
A. Härma	a.härma
A. Hünefeld	a.hünefeld
A. Iilane	a.iilane
A. Illi	a.illi
A. Ilves	a.ilves
A. Ingelman	a.ingelmann
A. Ingelmann	a.ingelmann
A. Isak	a.isak
A. Ivask	a.ivask
A. Ivtšenko	a.ivtšenko
A. J. Arming	a.j.arming
A. J. Kure rmtkpl	a.j.kure
A. J. Kure rmtkpl.	a.j.kure rmtkpl
A. J. Plukk	a.j.plukk
A. J. Ratas	a.j.ratas
A. J. Schubbe	a.j.schubbe
