rara_id	birth_date	death_date
a11343448	1290	NA
a12242287	1966	NA
a12557948	1950	NA
a1191208x	NA	1973
a11354100	-200	NA
a12246165	1972	NA
a12320717	NA	2023
a12563171	1900	NA
a11342468	1100	NA
a12557961	1950	NA
a11898288	NA	1674
a12284968	1960	NA
a12294160	NA	2023
a12556919	1950	NA
a12280963	1900	NA
a12327128	1950	NA
a12562105	NA	2024
a12378574	1950	2050
a12563675	1900	NA
a12327384	1999	NA
a12383922	1963	NA
a12562336	1950	NA
a1134460x	NA	2008
a1227950x	1900	NA
a12561241	1975	NA
a12320523	1950	NA
a11899153	NA	2020
a11913587	NA	2019
a12564746	1589	NA
a12320766	1950	NA
a12376395	1950	NA
a12565830	1590	NA
a11900027	NA	2013
a11342432	-650	-649
a12376334	1900	NA
a12705512	1950	NA
a12214577	1954	1951
a12703576	1900	NA
a12800430	1950	NA
a12803935	1950	NA
a12705500	1900	NA
a12799142	1950	NA
a12801549	1900	NA
a12803959	1950	NA
a12799130	1950	NA
a12801537	1950	NA
a12787267	1950	NA
a12791519	1950	NA
a1222103x	1974	NA
a1270698x	2000	NA
a12702158	1982	NA
a12221065	1979	NA
a12786391	1991	NA
a11538430	1929	NA
a12519546	1971	NA
a11441392	1825	1850
a11552736	1950	NA
a12637567	1924	NA
a12635777	1950	NA
a1144356x	1500	NA
a12392996	1950	NA
a12390574	1931	NA
a11266375	1557	NA
a12191413	1950	NA
a12820234	1950	NA
a12388695	1971	NA
a12521279	1950	NA
a12512588	1900	NA
a12517744	1950	NA
a12192557	1665	NA
a11543759	1941	2024
a12514524	1950	NA
a11446201	1700	NA
a12387368	1706	NA
a1263573x	1983	NA
a1144423x	1600	1000
a11444046	1800	NA
a11552438	1732	NA
a12515620	NA	2025
a1126830x	150	210
a12822656	1937	NA
a12389559	1900	NA
a12820477	1950	NA
a11545707	1620	NA
a1219475x	1978	NA
a12516612	1950	NA
a12522156	2000	NA
a12821342	1900	NA
a11449937	NA	2021
a1239161x	1972	NA
a11543772	1942	NA
a12185632	1900	NA
a12824847	1950	NA
a12822668	1900	NA
a12822681	1950	NA
a11450770	1700	NA
a1144180x	1549	NA
a12193768	1955	NA
a11441604	NA	1932
a11555920	NA	2023
a11449597	150	151
a11449561	NA	1982
a12387356	1966	NA
a12512540	1900	NA
a12387599	1992	NA
a11539215	4	97
a12515814	1993	NA
a12514718	1956	2023
a12824859	1950	NA
a12395614	1968	NA
a12389195	1963	NA
a12619619	1950	NA
a12822607	1900	NA
a12520378	1985	NA
a12193331	NA	2021
a11442931	1500	NA
a11555750	NA	2017
a12411383	2000	NA
a12686487	1950	NA
a1267770x	NA	2025
a12724609	1950	NA
a11466637	NA	2025
a12686682	1800	NA
a12679902	1969	NA
a11470902	1950	NA
a12540560	1950	NA
a12684004	1968	NA
a12538243	NA	2001
a12534079	NA	2026
a12677711	NA	2025
a12074512	1953	NA
a11253617	1913	1965
a12411127	1900	NA
a12415960	1950	NA
a12074500	NA	2020
a12083689	2000	NA
a12348429	NA	2025
a11474051	1193	NA
a12684272	NA	1928
a12409285	NA	2023
a12415546	1900	NA
a12540754	2000	NA
a12348673	1900	NA
a12413367	1977	NA
a12539302	2000	NA
a12679914	1950	NA
a11464008	1700	NA
a12541618	2000	NA
a12342579	NA	1817
a1267378x	1397	NA
a11467526	1939	NA
a12346949	1900	NA
a12544061	1950	NA
a12344527	1950	NA
a11262941	1444	NA
a12724828	2000	NA
a12081474	1950	NA
a11142029	NA	2018
a12341265	2000	NA
a12728159	1950	NA
a12675970	1950	NA
a12626429	1950	NA
a12438455	1927	NA
a1243999x	1868	NA
a12758772	1736	NA
a12435193	1900	NA
