find_this	N	replace_with
	1599
Aegwiidu	1	Aegviidu
Arensburg	72	Kuressaare
Aste	3
Austin ...	1	Austin
AÜE	1
Boca Raton (Fla.)	1
Boden	16
Borrby	4
Brasiilia	1
Cardliff	1
Champaign (Ill.)	2
Champain (Ill.)	1
Chichester	2
Darpata	6	Tartu
Dorpati Livon	1	Tartu
Dorpati Livonorum	31	Tartu
Dorpati Lovonorum	1	Tartu
EL-	3	Euroopa Liit
Euroopa	2	Euroopa Liit
Euroopa liit	1	Euroopa Liit
Frankfurt a.M.	2	Frankfurt am Main
Frankfurt am Main 	1	Frankfurt am Main
Frankfurt am Main ...	1	Frankfurt am Main
Gedani	1
Gedruckt zu Revall	2	Tallinn
Grätz	3
Hackensack (N.J.)	1
Hartwell, Vic	1
Hawthorn	3
Hellamaa	4	Muhu
Ilmumiskoht teadmata	3	S. l
Iouriew	1	Tartu
Isabella	1
Iurievi (Dorpati)	1	Tartu
Iurievi Livonorum	1	Tartu
Ivrievi	1	Tartu
Ivrievi Livonorvm	1	Tartu
Järjehoidja	1
Jõune	1
Kandla	1
Kihnu [jne.]	1	Kihnu
Kiievi	2	Kiev
Kiliae	1
Kiloni	2
Kirikuküla	1
Kuru	2
Kиïв	1	Kiev
Laheküla	1
Lanham (Md.)	1
Leeningradis [!]	1	St. Petersburg
Lihula (Läänemaa)	1	Lihula
Lihula [Läänemaa]	2	Lihula
Liiküla küla	1
Liiva	2
Limbaschos	1
Loona	1
Lõpe	3
Moсква	1	Moskva
Mulgimaa	6
Mägari	1
Nasva	1
Noarootsi	5
Nõva	17
Oldenburg in Gr	1	Oldenburg
Panga	2
Petropoli	9 St. Petersburg
Pihkwa	1	Pihkva
Pilistwere	2	Pilistvere
Põide	1	Pöide
Rehwelé	3
Reo	4
Reval 	1	Tallinn
Reval] :[C. Brendeken	1	Tallinn
Ridala	6
Ristna	1
Riverwood (N.S.W.)	2
Rootsi	45	Sweden
Rumeenia	1	Romania
Saare küla	2
San Diego ...	1	San Diego
Seli	2
Slovakkia	10	Slovakia
Solna	5
Spain	1
St. Lucia	1
St. Michael	1
St. Petersburg [i. e. Berlin]	1	St. Petersburg
Suntero	1
Suures-Jaani	1	Suure-Jaani
Talofka bei Ssaratow	1
Tamse [Muhumaa]	1	Muhu
Tarto liinan	1	Tartu
Taллинн	3	Tallinn
Tehrpata	1
Tehrpatâ	4
Tempa	2
Turu	12	Turku
Türgi	1	Turkey
"USA aurik ""General W.M. Black"" pardal"	1	USA
Upper Saddle River (N.J.)	1	New Jersey
Uus ja täiendatud väljaanne	1
Victoria	6
Vitembergiae	1	Wittemberg
Võlla	2
Warbla	1	Varbla
Waterloo	1
Wokingham	1
[Dorpat]	1	Tartu
[Riga]	2	Riga
the European Union	1	Euroopa Liit
the United States of America	2	USA
Аренсбург	45	Kuressaare
В Киев	1	Kiev
Варбузе	1	Varbuse
Вейссенштейн	1	Paide
Вяллингби	1	Vällingby
Гапсаль	21	Haapsalu
Госстрой Эстонской ССР	1	Saaremaa
Дерптъ	1	Tartu
Кiув	1	Kiev
Когува	2	Koguva
Кяэрику	1	Kääriku
Скопje	1	Skopje
Таllinn	1	Tallinn
Тестама	1	Tõstamaa
Торгель	1	Tori
Феннерн	1	Vändra
Цикмä	1
