place_for_edits	match
Hiinas
Euroopa Liidus	Euroopa Liit
Tartus
Aegviidus
Tallinnas	Tallinn
Rakweres
Peterburis	Peterburg
Los Angeles	Los Angeles
Jurjevis	Jurjev
Viljandis
Jurjewis	Jurjew
Imaveres
Wiljandis
Tõrvas
Põlvas
Walgas
Lehtses
Kurepalus
Eestis
Jurjewis - Tartus	Tartu
Kuressaares
Kanepis
Võrus
Malaisias
Valgas
Pariis	Paris
Paris	Paris
Riga Linnas	Riga
Kallaveres
Wõrus
Moskwas
Pilistveres
Kurresares
Pärnus
Kundas
Narvas
Kehras
Rijas
Rakveres
United States	United States
Audrus
Borås	Borås
Tarto-linnas	Tarto
Vilnius	Vilnius
Kuresaares
Singapuris	Singapur
Narwas
Haanjas
Minneapolis	Minneapolis
Haapsalus
St. Peeterburis	St. Peterburg
Lätis
Brussels	Brussels
Keilas
Omskis	Omsk
Stokholmis	Stockholm
Perno-linnas	Perno
Riias
Ruhnus
Soomes
Poolas
Torontos
Hamburis	Hamburg
Slovakkias
Pernus
Vilnius	Vilnius
Leedus
Jurjewis-Tartus
St. Catharines	St. Catharines
Tallinna linnas	Tallinn
Permis	Perm
Itaalias
Nõos
Sakus
Kapus
Aarhus	Aarhus
St. Peterburis	St. Peterburg
Sõmerpalus
Rõuges
Tartos
EL-s
Leningradis	Leningrad
Paides
Holdres
Petrogradis	Petrograd
Indias
Taeblas
Abjas
Hispaanias
Uppsalas
Tarto linnas	Tarto
Maarjas
Kolgakülas
Massachusetts	Massachusetts
Tartus
Kaunas	Kaunas
Euroopa liidus	Euroopa liit
Enges	Enges
Euroopas
Ameerika Ühendriikides	Ameerika Ühendriigid
Ilmatsalus
Suures-Jaanis
Boras	Boras
Leisis
Aegwiidus
Tarto Linnas	Tarto
Petseris
Peterpurgis	St. Peterburg
Tõrwas
Orléans	Orléans
Moskvas
Buenos Aires	Buenos Aires
Colorado Springs	Colorado Springs
Ridalas
Caracas	Caracas
Holstres
Rias	Riia
Warblas
Pilistweres
Geislingenis	Geislingen
Kolga-Jaanis
Jõhvis
Kiievis
Rumeenias
AÜEs
Meedlas
Muhus
Tahkurannas
Kurresare linnas	Kuressaare
Kose-Uuemõisas
Dubais
Pihkwas
Berliinis
Don Mills	Don Mills
Pariisis	Pariis
Türgis
Raplas
Rija-linnas	Riia
Sõru ots	Sõru ots
Vastseliinas
Stockholmis	Stockholm
Giedraičiai - Vilnius	Vilnius
Võhmas
Euroopa  Liidus	Euroopa Liit
Höganäs	Höganäs
Šveits	Šveits
Indianapolis	Indianapolis
Peeterburgis	St. Peterburg
Vasalemmas
Rija linnas	Riia
Rigas	Riga
Narwa linnas	Narwa
Kuusalus
Augsburgis	Augsburg
Århus	Århus
Londonis	London
Järva-Jaanis
Urvastes
Sydneys
Elvas
Lihulas
Helsingis
Kambjas
Geretsriedis	Geretsried
Nuias
Vändras
Riigas	Riia
Milton Keynes	Milton Keynes
Pajusis
Kilingi-Nõmmes
Hamburgis	Hamburg
Randers	Randers
Königstein in Taunus	Königstein in Taunus
Mississaugas	Mississaugas
Hummulis
Randers	Randers
Rijas-Lossis	Riia
Vigalas
Tartu linnas	Tartu
Väike-Maarjas
Ria Linnas	Riia
Põides
Tarto-Linnas	Tarto
Mustvees
Paradis	Bergen
Paluperas
Hellenurmes
Suure-Jaanis
Bruxelles	Bruxelles
Helsingfors	Helsingfors
Totnes	Totnes
Köningstein im Taunus	Köningstein im Taunus
Seltjarnarnes	Seltjarnarnes
Krems	Krems
Arles	Arles
Worms	Worms
Montreuil-sous-Bois	Montreuil-sous-Bois
Åhus	Åhus
Strängnäs	Strängnäs
Wästerås	Wästerås
Pécs	Pécs
Le Carteau-Cambresis	Le Carteau-Cambresis
Cesis	Cesis
Daugavpils	Daugavpils
Cēsis	Cēsis
Netherlands	Netherlands
Västerås	Västerås
Prospect Heights	Prospect Heights
Talinas	Tallinn
Athènes	Athènes
New Orleans	New Orleans
Königstein im Taunus	Königstein im Taunus
Troyes	Troyes
Riia linnas	Riia
Anvers	Anvers
Washington (D.C.) : Department of State, Bureau of Oceans and International Environmental and Scientific Affairs	Washington
Leeds	Leeds
Brxelles	Bruxelles
Gerpinnes	Gerpinnes
Athens	Athens
Beverly Hills	Beverly Hills
Helsingsfors	Helsingsfors
Fergus Falls	Fergus Falls
Pehterburgs	St. Peterburg
Berkeley, Los Angeles	Los Angeles
Londres	Londres
Hindås	Hindås
Helsinki-Helsingfors	Helsinki-Helsingfors
Chester Springs	Chester Springs
Sommerville, Mass	Sommerville, Mass
Tavastehus	Tavastehus
Limbaschos	Limbaschos
Vilniuys	Vilniuys
Rennes	Rennes
Nurmes
Reval-Schloss	Reval
