harm_name	lat	lon	N	publication_place_control	true_place
Hampstead	42.86	-71.18	1	at 	T
Kotka-Järve (Kanada)	54.46	-113.96	1	xxc	T
Melle (Hannover)	52.38	9.74	1	gw 	T
Laheküla	58.82	22.8	1	er 	T
Brühl	50.82	6.9	1	gw 	T
Vaivere (Saaremaa)	58.28	22.6	1	er 	T
Woking	51.32	-0.56	1	xxk	T
Karjamaa [Tallinn]	59.44	24.72	1	er 	T
Erala	58.46	26.68	1	er 	T
Vana-Järve	59.4	24.38	1	er 	T
Englewood Cliffs (N.J.)	40.88	-73.98	1	xxu	T
Karhula	60.52	26.94	1	fi 	T
Röhsska	57.7	11.98	1	sw 	T
Heiås	59.7	11.3	1	sw 	T
Miiduranna	59.5	24.82	1	er 	T
Saarde-Pärnu	58.46	24.18	1	er 	T
Starnberg	48	11.34	1	gw 	T
Ivaski (Viljandimaa)	58.42	25.36	1	er 	T
Worcester	42.26	-71.8	1	xxc	T
Nabala	59.28	24.88	1	er 	T
Sampzon	44.42	4.34	1	fr 	T
Vijayawada	16.52	80.64	1	ii 	T
Oru ([Ida-Virumaa)	59.36	27.56	1	er 	T
Saviranna	59.5	25.04	1	er 	T
Naruski	57.98	27.1	1	er 	T
Jelenia Góra	50.9	15.74	1	gw 	T
Sortavala	61.72	30.72	1	ru 	T
Tähtvere	58.4	26.64	1	er 	T
Wedemark [Deutschland]	52.56	9.74	1	gw 	T
Chur	46.84	9.52	1	sz 	T
Münchenstein [Schweiz]	47.52	7.62	1	sz 	T
Suuremetsa	57.86	27.34	1	er 	T
Palermo	59.32	26.36	1	er 	F
Los Altos (Cal.)	37.38	-122.1	1	xxu	T
Cöln	52.28	104.3	1	gw 	F
Orléans	47.9	1.9	1	fr 	T
Salisburg	57.86	25.04	1	lv 	T
Brest	48.38	-4.5	1	fr 	T
Sarve	58.84	23.06	1	er 	T
Mundaring [Australia]	-31.9	116.18	1	at 	T
Purtsi	58.08	26.1	1	er 	T
Stavanger	58.98	5.74	1	no 	T
Taavetti	60.92	27.56	1	fi 	T
College Station (Tex.)	30.64	-96.32	1	xxu	T
Pushchino	54.82	37.62	1	ru 	T
Rassi [Viljandimaa]	58.54	25.7	1	er 	T
Al-Qāhirah	30.04	31.24	1	ua 	T
Lemmküla	59.2	26.26	1	er 	T
Laadi	58.28	24.6	1	er 	T
Laguja	58.16	26.44	1	er 	T
Beacon, N.Y	41.5	-73.98	1	xxu	T
Soesaare (Põlvamaa)	58.06	27.12	1	er 	T
Remagen-Oberwinter	50.62	7.2	1	gw 	T
Õvi	58.46	26.54	1	er 	T
Princeton	40.36	-74.66	1	xxu	T
Reykajvík	64.16	-21.94	1	ic 	T
Rebala	59.46	25.08	1	er 	T
Harderovici	44.46	18.24	1	ne 	T
Dobbs Ferry (New York)	41	-73.88	1	xxu	T
Memphis, Tennessee	35.16	-90.04	1	xxu	T
Wheaton, IL	41.86	-88.12	1	er 	T
